,Name,Comment,Time,Likes,Reply Count,Supporter
18,RIZ,"Srk is an emotion! The person who made me laugh,cry and taught me to love and help the people ♥️<br>Srk have quality he don&#39;t believe in quantity<br>No hate to salman khan but I will say no body can match the level of srk!😌♥️",2023-01-12T10:43:41Z,1,0,shahrukh khan
20,JENA BABU VLOGS,Salaman Khan is brand ❤️❤️❤️❤️❤️❤️🔥🔥🔥🔥🔥🔥,2023-01-09T18:55:10Z,0,0,salman khan
21,Muhammad Hasnain,SRK ❤️💥💥💥 HAI PATHAN,2023-01-08T06:09:39Z,1,0,shahrukh khan
22,Khenzoy Konyak,Salman G.O.A.T💪🏻,2023-01-07T06:28:48Z,1,0,salman khan
23,Malik Tanzeem,Srk best actor worldwide,2023-01-05T19:29:39Z,0,0,shahrukh khan
24,Rakib Khan,Salman bhai best actor of bollywood,2023-01-05T03:36:54Z,0,0,salman khan
25,PAWAN TOMAR,King of Bollywood is srk,2023-01-04T21:51:17Z,0,0,shahrukh khan
26,Akash Sahoo,SRK....King...,2023-01-04T05:14:30Z,0,0,shahrukh khan
27,#luv1996#,maam saudi mein hu yaha srk bh aya tha salman bh yakeen maana salman ke liye aisa sb pagal thy pucho mat unreal fan following haha belhasa dubai son salman ko bolaya tha srk ko nh jao maam aap global deversity award london salman ko mila bill kilinton ne apni security salman ko di srk ko nh,2023-01-01T02:23:58Z,0,0,shahrukh khan
28,#luv1996#,salman luv u,2023-01-01T02:21:40Z,0,0,salman khan
29,Dhiraj Narwade,Srk king of bollywood ♥️,2022-12-31T09:21:54Z,0,0,shahrukh khan
30,Bilal Haahim,Salman stardom bahoot bada hai,2022-12-30T21:45:47Z,0,0,salman khan
31,Apna Channel,Salman Bhai,2022-12-29T17:22:33Z,0,0,salman khan
32,salman khan superstar megastar 🥰,No1 superstar megastar salman khan sir no1 badshaah of Bollywood king salman khan sir 🥰🥰🥰 love you sir 🥰🥰🥰 tiger bhaijaan sultan Sallu  love you sir power of Bollywood of world king,2022-12-29T11:48:31Z,1,0,salman khan
34,Akshay Kamble,Sallu bhaijaan ka stardom bohot bada hai❤,2022-12-27T20:35:27Z,0,0,salman khan
35,priiiiiii...,Srk❤️🎯🌌,2022-12-26T23:49:42Z,0,0,shahrukh khan
36,Shaany Khan,"Srk never end in Bollywood jungle ka Badshah ek hi hota hey one and only king Khan boom entry in Bollywood Pathan, dunky and Jawan",2022-12-25T00:36:44Z,0,0,shahrukh khan
37,Shaikh Rahman,Srk greatest,2022-12-23T20:37:59Z,0,0,shahrukh khan
38,શિવાય,SRK,2022-12-23T11:46:49Z,1,0,shahrukh khan
39,Ganesh Marandi,Salman Khan Bhai jaan Bigg star,2022-12-20T17:56:01Z,0,0,salman khan
40,Vk,Bhai india se bahar puch..pta chal jayega papa kaun hai .😂,2022-12-15T19:14:52Z,0,1,shahrukh khan
41,1 Momin,Salman National hai.Srk International is se samjh lo kis ka stardom bada hai.,2022-12-15T10:17:01Z,0,0,shahrukh khan
42,Ranjeet Chauhan,Srk King ❤️,2022-12-14T04:05:18Z,1,0,shahrukh khan
43,Ashish Pawar,King khan,2022-12-13T18:28:16Z,0,0,shahrukh khan
44,Pradeep پردیپ live observer,The most valuable and inspiring personality is Salman khan 😍😍🥳 when you want to get the true lessons of life in absolute free,2022-12-12T16:19:02Z,6,0,salman khan
45,bolly_biography,Salman khan always 🔥,2022-12-12T13:38:04Z,1,0,salman khan
46,Being successful,Salman khan🔥🔥🔥🔥🔥,2022-12-09T19:33:38Z,1,0,salman khan
47,Black Hunter,The last super star 🌟 yarrrr SRK India 🇮🇳🇮🇳,2022-12-06T12:02:40Z,1,0,shahrukh khan
48,akshat,Srk is king,2022-12-02T14:30:08Z,0,0,shahrukh khan
49,Bishal,King of world cinema,2022-12-02T06:10:05Z,1,0,shahrukh khan
50,Ayush Ranjan,Srk ❤️❤️❤️,2022-11-27T08:09:47Z,1,0,shahrukh khan
51,shoaib khan,Salman khan is the biggest,2022-11-26T15:00:58Z,1,0,salman khan
52,sajidur Rahman,Salman khan.. ❤️,2022-11-23T20:26:43Z,0,0,salman khan
53,Sahil Ashraf,Love u srk❤️,2022-11-23T14:57:17Z,1,0,salman khan
54,bairari,Srk,2022-11-23T10:33:51Z,2,0,shahrukh khan
55,Abhishek,World knows srk<br>Locals know selmoin bhoi 😂😂,2022-11-23T05:29:10Z,0,0,shahrukh khan
56,Abhishek,Other countries know srk DDLJ<br>Salman ko bahar koi nhi janta 😂😂,2022-11-23T05:27:40Z,0,0,shahrukh khan
57,Abhishek,Srk fans like <br>Salman khan comments,2022-11-23T05:25:29Z,0,0,shahrukh khan
59,Vijay Sasane,La**a mera Salman Khan. Duniya main Srk ke liye pagal hain log,2022-11-22T14:35:00Z,0,0,shahrukh khan
60,Odda hi,"<a href=""https://www.youtube.com/watch?v=EtuJyE7HauY&amp;t=1m44s"">1:44</a> aunty and every wanna be cool people just say Srk is actor and Salman is not actor just a superstar",2022-11-21T02:41:20Z,0,0,shahrukh khan
61,Odda hi,"Sahi bola madam <a href=""https://www.youtube.com/watch?v=EtuJyE7HauY&amp;t=0m41s"">0:41</a> sweet lagta hai Apna lagta hai Salman 😂😂❤️‍🔥",2022-11-21T02:39:42Z,1,0,salman khan
62,SOUMYA SOUMYA,SRK 🔥🔥🔥🔥🔥🔥🔥,2022-11-20T07:09:28Z,0,0,shahrukh khan
63,Akash Kumar,Salman Khan,2022-11-20T03:37:09Z,0,0,salman khan
64,being Salman khan fan awais,Bhai,2022-11-18T13:34:20Z,1,0,salman khan
65,Arriyan Raju,Srk king of world,2022-11-15T08:06:59Z,0,0,shahrukh khan
67,Afroz Khan,Srk Ko bol rahe hai  International Famous Hai Mera kaddu famous hai bssk overseas mein acchi movie chalti hai na ki hakle ki sakal,2022-11-14T04:57:46Z,0,0,salman khan
68,Afroz Khan,Salman Khan Ke Jitne fan hai utne kisi actor ka fan nhi hai,2022-11-14T04:55:59Z,0,0,salman khan
69,Afroz Khan,Salman Khan All time fevorite Actor For Me 💕 <br>Love you bhaijaan,2022-11-14T04:54:27Z,0,0,salman khan
70,Proud gurkha,Salman is local hero 🤣,2022-11-12T19:13:55Z,0,1,salman khan
71,Proud gurkha,Srk is a global superstar love from Nepal❤️,2022-11-12T19:13:39Z,0,0,shahrukh khan
73,Dilshad Khan,Are chaman cutiya bhai to bahi hai salman bahi hai❤️❤️❤️❤️❤️❤️I love you salman khan,2022-11-12T07:04:30Z,0,0,salman khan
74,Mohammad Kaif,Salman Khan ka stadam bada hai,2022-11-11T15:44:20Z,0,0,salman khan
75,Reshav Vo,King is Shahrukh... baadshah 💖💖😘😚,2022-11-09T20:12:52Z,0,0,shahrukh khan
76,Sattar Buyan,Only Salman  khan,2022-11-09T17:19:09Z,0,0,salman khan
77,reshma sultana,Salmam Khan always❤❤🔥,2022-11-09T15:11:56Z,0,0,salman khan
78,Shabaj Ahmad,Salman sir ko koi replace nahi kar sakta duniya me sabse jada famous hero salman sir hai shahrukh nahi,2022-11-09T09:21:43Z,0,0,salman khan
80,being_arsh,Shahrukh khan Badshah 🥰,2022-11-07T14:34:22Z,0,0,shahrukh khan
81,being_arsh,Srk is srk 🙌🏿🙌🏿🙌🏿,2022-11-07T14:33:29Z,1,0,shahrukh khan
83,The Rajasthani nation,Bhai Jaan Salman Khan is the best👍💯 ❤,2022-11-07T13:39:18Z,1,0,salman khan
84,mr. gaming 2m,Srk sir se bada Koi nahi ❤️,2022-11-07T02:02:57Z,0,0,shahrukh khan
85,Call__me._. AB,Salman sir megastar of bollywood🔥 love from pakistan❤,2022-11-06T18:21:05Z,0,0,salman khan
86,Memer boy,srk🔥🔥🔥,2022-11-05T20:32:17Z,0,0,shahrukh khan
87,Ali Khan,Only srk KING❤️👑,2022-11-05T19:00:00Z,1,0,shahrukh khan
88,LIFE IS BEAUTIFUL,Only srk,2022-11-05T16:04:46Z,0,0,shahrukh khan
89,Karan Wankhede,Salman Bhai,2022-11-05T07:36:12Z,0,0,salman khan
90,science wallah,only bhaijjan,2022-11-04T12:28:07Z,1,0,salman khan
91,Azizul Khan at gym,Bhaiya Salman Khan is the best,2022-11-04T10:26:17Z,0,0,salman khan
92,Shrenik Ranka,Saale compare bhi king ki kisse krr rhe haii 💩 Dont compare our King SRK with anyone vo poora Samundra hai mere bhai baki sab uske samne ek bund ke barabar ❤️,2022-11-04T08:16:52Z,0,0,shahrukh khan
93,Niyaz Khan,Salman khan,2022-11-03T09:04:44Z,0,0,salman khan
94,Samim Raj,Salman khan . I&#39;m Big Fan,2022-11-03T08:29:05Z,0,0,salman khan
96,Dilshad Banu,Salman khan mere jan shan hai mashallah allha salman bhi ko hume sha khus rakhi ameen🤲💗💓,2022-11-02T17:00:29Z,0,0,salman khan
97,MR Xxx,Only salman khan,2022-11-01T12:48:55Z,0,0,salman khan
98,Md Shumon,Srk best actor,2022-11-01T11:36:20Z,0,0,shahrukh khan
99,Official Raj9064,World biggest international actor srk🤞💯,2022-10-29T17:02:49Z,0,0,shahrukh khan
100,Amit Kumar,Only SRK,2022-10-28T08:45:18Z,1,0,shahrukh khan
101,rashmika mandanna,Srk bolti public,2022-10-27T10:45:08Z,0,0,shahrukh khan
102,shukla shukla,Offcourse Salman Khan. 🌟 Star Hai... 👍,2022-10-24T17:57:59Z,0,0,salman khan
103,Yaseen Issa,Salman Khan all the way for me 🙏🙏🙏💖💖💖. Salman Khan is a much better actor and better looking than Shahrukh Khan 🔥🔥🔥😘😘😘.,2022-10-24T12:35:57Z,0,0,salman khan
104,Nistha Sharma,My favorite actor Salman Khan,2022-10-24T10:58:48Z,0,0,salman khan
105,One Plus,Shahrukh Khan sirf star nahi zindgi hai meri,2022-10-24T06:32:21Z,1,0,shahrukh khan
106,One Plus,India me stardom salman khan hai lekin aap baat kre globally stardom ki to shahrukh ke takkar ka koi nahi,2022-10-24T06:30:38Z,1,0,shahrukh khan
107,Big Wolf,SRK,2022-10-23T15:08:33Z,0,0,shahrukh khan
108,Mr. Official05,One and only Sallu bhai✋💓💓💓💓,2022-10-22T19:38:31Z,0,0,salman khan
109,Shahil Sawant,Salman Khan is best my favourite actor,2022-10-22T12:37:35Z,0,0,salman khan
110,Loo ol Njki,Movie collection say who have more stardom🤣<br>Obviously Salman Khan 🗿🖤,2022-10-21T18:21:46Z,0,0,salman khan
111,Rohitsk,Janu ka Jaan bhai jaan Salman Khan,2022-10-21T14:26:14Z,0,0,salman khan
112,Rohitsk,Salman bhai jaan,2022-10-21T14:25:30Z,0,0,salman khan
113,Filmy Wap,Kuch bhi kehlo Salman is Salman bhai ki Baat hi alag hai🔥🔥,2022-10-20T18:41:47Z,1,0,salman khan
114,Ghanshyam Malivad,Bhai apne to ek hi hero pasand hai.indian biggest meghastar of Salman bhai ❤️💪💯.<br>I love you Salman bhai ❤️,2022-10-20T06:13:00Z,0,0,salman khan
115,pithna legend,Srk ko kehdo ke gribo ki madad kare rumanse me kuch nahi hai bhai rumace to imran hasmi bhi ke lete hai would of the most sicound riches man Bane se kuch nahi hota Dil ho to Salman bhai jaisa,2022-10-19T14:16:13Z,1,0,shahrukh khan
116,pithna legend,Bolybood ka dabang Khan one ef the most bhai  Salman Khan💪,2022-10-19T14:13:10Z,1,0,salman khan
117,Katen Palling,King is king skr,2022-10-19T11:23:15Z,0,0,shahrukh khan
118,Md Moazzam khan,Shahruk best actor,2022-10-16T17:22:36Z,1,0,shahrukh khan
119,SHUMAILA,Srk ka stadaam,2022-10-14T17:40:42Z,0,0,shahrukh khan
120,TUFAN GAMING FF,Shahrukh Khan 🥰🥰,2022-10-13T04:34:00Z,0,0,shahrukh khan
121,Afzal,ABE CHUTIYA 😞 YE TO ZAAHIR HAI KI SALMAN KHAN KA STARDUM JYADA BHARI HAI 💙,2022-10-12T17:22:42Z,0,0,shahrukh khan
122,OMG 😱 AWEZ,STORDOM OF SALMAN KHAN ❤,2022-10-12T10:17:32Z,1,0,salman khan
123,adil taimoor,SHAH RUKH KHAN is the most Charitable Actor he doesn&#39;t show off... He&#39;s the only Indian to achieve the biggest charity award,2022-10-11T15:46:35Z,0,0,shahrukh khan
124,adil taimoor,Only SRK rules 🔥❤️,2022-10-11T15:44:12Z,0,0,shahrukh khan
125,বাংলা টিবি,Agar international hero ki bat Karo to sharukh khan he number 1 kiuki Menevhi sharukh khan ki fan or me India se nehi Bangladesh se Hu....agar sharukh cricket or business pe Jada time na dekar film par time Diya HOTA to Salman kavhi Bhai na banta....sabka Dil par sharuk khan thi rahega,2022-10-11T14:50:27Z,0,0,shahrukh khan
127,Dawood Bagwan,Salman Khan best hai,2022-10-09T13:33:34Z,1,0,salman khan
128,sk.kaifu.x,Srk is srk🔥🤞,2022-10-08T09:29:45Z,1,0,shahrukh khan
130,Danish Zehen,Salman Khan is the bast Love you 😘🥰,2022-10-06T14:18:05Z,2,0,salman khan
131,jai shri krishna,Srk❤️,2022-10-05T13:06:59Z,0,0,shahrukh khan
132,Sagr Sagar,Only Salman bhai bollywood ka baap,2022-10-04T10:14:16Z,1,0,salman khan
134,naveen navariya,King khan srk&#39;s,2022-10-03T03:53:29Z,1,0,shahrukh khan
135,Siddharth Sarmah,One nd only SALMAN BHAI,2022-10-02T12:10:56Z,1,0,salman khan
136,Arish Shaikh,I am biggest fan of salman 😍😍😍❤❤i love ❤❤❤❤ salman,2022-09-29T17:47:31Z,1,0,salman khan
137,Rakesh Chahal,Srk,2022-09-29T05:03:25Z,1,0,shahrukh khan
138,Suliman Khan,only srk,2022-09-27T16:38:25Z,0,0,shahrukh khan
139,Rosan Shaikh,Only Salman Khan 💯😘,2022-09-25T18:34:30Z,1,0,salman khan
140,Uzair Baloch,Salman khan,2022-09-24T04:44:29Z,1,0,salman khan
141,Sahil Padhan,Bollywood ka sultan Salman Khan 🔥,2022-09-23T16:08:47Z,1,0,salman khan
142,Sankar Biswas,Srk is world biggest movie Star,2022-09-23T06:33:20Z,0,0,shahrukh khan
143,Cricketer Honey Singh,Only Bhaijaan 😎❤,2022-09-22T17:17:37Z,1,0,salman khan
145,FUN2US  STUDIO,Salman is baap,2022-09-20T16:41:00Z,1,0,salman khan
146,Dhiraj Narwade,The king of one only srk,2022-09-18T02:45:19Z,1,0,shahrukh khan
147,"Yooabs Nrn,njr",SRK is most popular actor King of Bollywood,2022-09-17T12:22:41Z,0,0,shahrukh khan
148,Sunil Creation 5546,Megastar Salman khan I love you ❤️❤️,2022-09-17T10:37:43Z,0,0,salman khan
149,armam Khan,Salman Khan,2022-09-17T05:44:00Z,0,0,salman khan
150,Sohel Tanvir,Salman Khan Bast love you,2022-09-16T20:25:40Z,0,0,salman khan
151,Tiger you 1234,King 👑 sallu bhai,2022-09-16T06:18:06Z,0,0,salman khan
152,Digamber Shinde,Srk,2022-09-15T12:15:37Z,0,0,shahrukh khan
153,Sanjeev karki,Srk ko globally log pehechante hai,2022-09-15T04:03:32Z,0,0,shahrukh khan
154,Kalpesh Patel,Salman bhai hi hoga na,2022-09-12T20:50:38Z,0,0,shahrukh khan
155,Ennu Bhai,Srk ❤🌹🌹,2022-09-09T06:37:52Z,0,0,salman khan
156,Adilabad Comedy vlogs,Salman khan bhai🥰🥰,2022-09-07T07:15:24Z,0,0,salman khan
157,Hasan abbas zaidi,Salman khan all time blockbuster hero,2022-09-06T16:51:05Z,0,0,salman khan
159,NAMAN KHANDELWAL,Salman Khan super ❤️❤️,2022-09-06T03:08:49Z,0,0,salman khan
160,Waris Zulfiqar,Stardom ka king 👑👑 srk hai bus,2022-09-05T22:24:07Z,0,0,shahrukh khan
161,Saharukh Khan,Shahrukh Khan is best actor of Bollywood 👍 is King Khan of Bollywood 👑👑👑🔥🔥🔥👍👍👈,2022-09-05T16:23:41Z,1,0,shahrukh khan
162,Nahid Rahat,Srk,2022-09-03T18:01:21Z,0,0,shahrukh khan
163,Shoaib Alvi,Always bhaijaaan the baap of box office,2022-09-01T07:41:48Z,0,0,salman khan
164,Bitem Taloh,No offence but Bhai jasn is at another level,2022-08-31T15:00:25Z,0,0,salman khan
165,strong bonding,Salman khan you are doing good job keep it up,2022-08-31T13:16:15Z,0,0,salman khan
166,Mr. Raj,SRK is the real king👑,2022-08-31T05:23:51Z,1,0,shahrukh khan
167,Mureed,Chakde bazzigar ddlj Salman ni srk ko khairat may day dein,2022-08-28T13:52:28Z,0,0,salman khan
168,Aasif Nariya,Salman Bhai jaan best,2022-08-28T07:17:58Z,0,0,salman khan
170,Shubhu raj Student,Bhai ❤️,2022-08-27T09:48:03Z,1,0,salman khan
171,Hekmtullah Hasand,"SRK<a href=""about:invalid#zCSafez""></a>",2022-08-27T00:00:55Z,0,0,shahrukh khan
172,Amjad Khan,Shahrukhkhan star dam no.1,2022-08-26T19:30:23Z,1,0,shahrukh khan
173,Arbaz Khan,One and only salman khan stardom ❤❤,2022-08-24T22:05:23Z,0,0,salman khan
174,Waris Zulfiqar,Srk ha king,2022-08-24T20:30:51Z,0,0,shahrukh khan
176,Pramod Kumar Pani,Always Srk ❤️,2022-08-22T14:05:22Z,0,0,shahrukh khan
178,Sahil Ashraf,Love you srk,2022-08-21T09:37:41Z,0,0,shahrukh khan
179,Mohhamd Shaikh,Bhai salman salman hai bo real hero h dikhaba nhi h usme i love sallu ❤❤❤❤,2022-08-20T17:58:48Z,0,0,salman khan
180,Vinod Kumar,Srk is best,2022-08-20T17:24:43Z,0,0,shahrukh khan
181,Azam Khan,Puch kya hai obviously Salman Khan aap khud dekho khud socho Salma ki baat hi alag hai unka alag hi jalwa hai bhai,2022-08-20T14:44:47Z,0,0,salman khan
182,Azizul Khan at gym,Bhaijaan Salman Khan dabang,2022-08-20T11:52:48Z,0,0,salman khan
183,MADHABI Das,Only one Salman Khan or koyi vi nhi,2022-08-18T10:07:38Z,0,0,salman khan
184,Zumrat Khan,Salman Khan best,2022-08-17T06:37:47Z,0,0,salman khan
185,Zumrat Khan,Salman Khan,2022-08-17T06:37:27Z,0,0,salman khan
186,ZevilEdits,Srk king,2022-08-16T12:17:26Z,0,0,salman khan
187,Aryan Nikhare,Always be an SRK FAN,2022-08-16T07:08:03Z,0,0,shahrukh khan
188,Gousabi Jahagiradar,Salman Khan best 😍🥰,2022-08-15T12:44:51Z,0,0,shahrukh khan
189,REFRAMING,Charity sab s jyada srk ka he yar worldwide reserch kro 🥺,2022-08-13T10:30:54Z,0,0,salman khan
190,REFRAMING,Salman genuine h 🤣🤣🤣🤣🤣,2022-08-13T10:30:26Z,0,0,salman khan
191,REFRAMING,"Salman khan radhe, remake sab ko pasand ayi lekin srk k original nahi",2022-08-13T10:30:10Z,0,0,shahrukh khan
193,Satwashil jakhamale,Jo logo ki madat karta hai wahi real star salman hai,2022-08-13T03:29:02Z,0,0,salman khan
194,Satwashil jakhamale,Ye madam ko bolo ki india se bahar shahrukh se jada salman ke fan hai,2022-08-13T03:26:36Z,0,0,salman khan
195,Ankita Mahi,Salman Khan 💥💥,2022-08-11T06:50:12Z,0,0,salman khan
196,MOHAMMAD MOIN SHARIEF,ONLY SRK KING KHAN,2022-08-10T18:17:56Z,0,0,shahrukh khan
197,Imran Khan,Ek lady boli Shahrukh bhi sahi hai aunty srk ki takkar ka bollywood me koi nhi hai jis din Shahrukh khan ko jaan liya us din se apka ideal ban jayega,2022-08-09T18:38:04Z,1,0,shahrukh khan
198,Nandini Bibhar,Salman bhai,2022-08-07T08:22:57Z,0,0,salman khan
199,Khuram Sial,Only srk,2022-08-05T20:40:44Z,0,0,shahrukh khan
200,Suleman Raza,Salman Khan Bhut bura star hai,2022-08-04T08:51:13Z,0,0,shahrukh khan
201,Sagar Ali,Salman vai,2022-08-04T08:01:34Z,0,0,salman khan
202,Sachin Gadwal,Srk,2022-08-03T16:19:54Z,0,0,shahrukh khan
203,Mudasser Ansare,Salman bhai,2022-08-03T06:32:11Z,0,0,salman khan
205,Beowulf Thakur,Selfmade actor srk world king,2022-08-01T16:54:14Z,1,0,shahrukh khan
206,Nassir Farooq,Bollywood ke sultan<br>Sabb ke bhaijaan<br>Love you salmaan,2022-08-01T15:19:17Z,0,0,salman khan
207,Mohd Zeeshan,Salman sir is a best actor bhaijan,2022-08-01T12:59:14Z,0,0,salman khan
208,Mehedi hasan Shanto,Only srk..,2022-08-01T11:11:40Z,0,0,shahrukh khan
211,Deep Singh,SRK Best ❤❤❤,2022-07-29T11:40:15Z,0,0,shahrukh khan
212,Junaid world,Srk love you so much 💖😘,2022-07-28T13:22:02Z,0,0,shahrukh khan
213,Akash Verma,Agar charity ki baat kro toh srk world mein no 1 actor hai charitable mein bss king show off nhi krta,2022-07-26T15:48:14Z,0,0,shahrukh khan
214,Being Aditya,Kids: Srk <br>Legends: Salman,2022-07-26T13:44:03Z,0,0,salman khan
215,John's fan💙,Srk is inspiration bosssssss,2022-07-25T06:35:02Z,0,0,shahrukh khan
216,Saroj Odia Desi vlogs,My ❤️ Salman Khan 💗,2022-07-24T18:14:05Z,1,0,salman khan
217,Pushpa Gupta,Salman khan,2022-07-24T16:24:27Z,1,0,salman khan
218,Md Shahzan,Salman Khan King of Bollywood and international actor,2022-07-24T11:40:46Z,0,0,salman khan
219,Y u I,Srk,2022-07-24T10:10:19Z,0,0,shahrukh khan
220,kartik Kumar,SRK ❤️,2022-07-23T08:40:22Z,0,0,shahrukh khan
221,sunil vishwakarma,Salman bhai,2022-07-22T06:59:53Z,0,0,salman khan
222,Suleman Raza,Salman Khan sabse bda hai,2022-07-21T13:18:20Z,0,0,salman khan
223,Suleman Raza,Salman,2022-07-21T10:59:02Z,0,0,salman khan
224,hk,Salman bhai,2022-07-20T13:22:21Z,0,0,salman khan
225,Mohammed Majeed,Salman Khan sir 😊,2022-07-20T03:53:23Z,0,0,salman khan
226,Sanju vlog,SRK gjb,2022-07-20T02:35:44Z,0,0,shahrukh khan
227,Anmol Vaid,Salman bhai,2022-07-18T21:28:03Z,0,0,salman khan
228,DL gaming,skk sharuk khan king,2022-07-18T03:13:53Z,0,0,shahrukh khan
229,John Naik,You just can&#39;t match the stardom of bhaijaan,2022-07-17T04:55:56Z,0,0,salman khan
230,Colour Games,Salman bhai only,2022-07-16T17:30:43Z,0,0,salman khan
231,Colour Games,Salman Khan only forever,2022-07-16T17:30:24Z,1,0,salman khan
232,Khushi Sena Official,Srk Shah Rukh Khan,2022-07-16T11:28:17Z,1,0,shahrukh khan
233,Javed Iqbal,Salman bhai ka ok,2022-07-16T10:55:08Z,0,0,salman khan
234,Hussain Sh,Shahrukh Khan,2022-07-16T05:38:16Z,0,0,shahrukh khan
237,Divyanshu Patra,Salman khan stardom is best in the world,2022-07-14T03:49:58Z,0,0,salman khan
239,sandy manhas,4 girl explained very well srk global star but aalman is more popular in india,2022-07-12T19:06:35Z,0,0,salman khan
240,Nazeer khan Rajper,Salman khan is real hero I love salman khan sir,2022-07-12T10:01:42Z,1,0,salman khan
242,Ajay Sharma,Salman Khan stardum bada he,2022-07-10T11:06:26Z,0,0,salman khan
243,Ajay Sharma,Bollywood ka baap only Salman Khan best actor in world 🌎,2022-07-10T11:00:52Z,0,0,salman khan
245,Suleman Raza,Salman Khan ka stadam બ્ર,2022-07-08T06:44:55Z,0,0,salman khan
246,An@s,Obviously SRK,2022-07-07T20:37:44Z,0,0,shahrukh khan
247,Jayesh Verma,Srk 🥰❤❤❤❤,2022-07-06T16:13:24Z,0,0,shahrukh khan
248,GAURAV NAHAR,Saharukh khan salman khan ki wajah se star bana because salman ne jo flims reject ki thi saharukh wo flims karke star ban gaya. So srk is star credit goes to salman khan.  So salman khan is best.,2022-07-06T14:52:40Z,0,0,salman khan
249,Gourav Sarange,Srk... king...srk,2022-07-06T03:12:30Z,0,0,shahrukh khan
250,MR muddassir,Only on Salman Khan ❤️❤️❤️❤️❤️,2022-07-04T15:02:43Z,1,0,salman khan
251,mr Rounak,Salman Bhai Jan ka koi match nhi hn hoga ❤️😊,2022-07-03T17:25:45Z,0,0,salman khan
252,POSITIVE VIBE,1990s 2000s 2010s 2022 still haar ek decade me Salmna khan ka jawala raha hai he&#39;s is huge mega satar ❤️❤️,2022-07-03T10:54:31Z,2,0,salman khan
253,Sharuk Khan,SRK,2022-07-02T09:56:21Z,0,0,shahrukh khan
254,Being Rk Sries5817,Salman bhai stardom hero,2022-07-02T04:22:36Z,0,0,salman khan
255,King Zain,Salman khan 🐯 boss,2022-07-01T21:27:42Z,1,0,salman khan
256,Md Rulamin,King of bollywood. The enough name is salman khan,2022-06-28T17:09:12Z,1,0,salman khan
257,Chena Ram,Salman bgai,2022-06-28T17:01:38Z,0,0,salman khan
258,Nadeem Khan,Srk,2022-06-26T18:59:23Z,0,0,shahrukh khan
259,Raju Mondal,"Srk,,,,stdam",2022-06-26T15:46:40Z,0,0,shahrukh khan
260,Mohemmed Gouse,Srka1,2022-06-26T14:57:06Z,0,0,shahrukh khan
261,Mohammed Rais Khan,srk   bhai,2022-06-26T11:15:08Z,0,0,shahrukh khan
262,ADIL,Srk is coming with 3 mega movies pathan jawan and dunki,2022-06-26T03:22:35Z,1,0,shahrukh khan
263,Ra Razaaa,Love you Salman Khan,2022-06-25T17:54:51Z,0,0,shahrukh khan
264,Ra Razaaa,King of bhai jaan,2022-06-25T17:54:37Z,0,0,salman khan
265,MD Hashim Ahmad,salman vai love,2022-06-25T08:44:19Z,0,0,salman khan
266,Mohd Umar,Bhaijann love you,2022-06-25T06:18:03Z,0,0,salman khan
267,Mohd Umar,Salman khan ka ha stardom,2022-06-25T06:15:42Z,0,0,salman khan
268,Rajesh Bhuyan,Salman now brand becouse he is salman 🙏🙏🙏🙏,2022-06-24T18:26:10Z,0,0,salman khan
270,Rinku Chawla,King khan srk sbse best hai... Unka koi compititer nhi h always win.. srk❤,2022-06-24T10:34:20Z,1,0,shahrukh khan
